reg|name|promoter|district|project_type|started|units
RP/07/2026/01438|JAIN EXOTICA|Jain Builders Private Limited|Cuttack|Residential|Mar, 2026|57
RP/19/2026/01436|ANANYA SULOCHANA|Prabhukrupa Realties Private Limited|Khordha|Residential|Mar, 2026|65
RP/19/2026/01435|GITANJALI BHAWAN|HKP INFRASTRUCTURE PVT.LTD.|Khordha|Residential|Mar, 2026|16
RP/13/2026/01434|SUREKHA NIRVANA|M/s. Surekha Builders & Developers Pvt. Ltd|Jajapur|Residential|Mar, 2026|124
RP/19/2026/01433|VERSA SATTVA|SS VERSATECH CONSUMMATORS PVT LTD|Khordha|Residential|Mar, 2026|80
RP/19/2026/01431|RASHMI DELIGHT|Ganges Garden Realtors Pvt. Ltd|Khordha|Residential|Mar, 2026|36
RP/19/2026/01428|KESHAB PALACE|M/s. Archi Tech Creations|Khordha|Residential|Feb, 2026|24
RP/07/2026/01427|AKMS SERENITY|AKMS SUSTAINABLE INFRA & INDUSTRIAL SOLUTIONS PRIVATE LIMITED|Cuttack|Residential|Feb, 2026|16
RP/19/2026/01426|HRIDAYA PALACE|ARISCON ESTATES PRIVATE LIMITED|Khordha|Residential|Feb, 2026|28
RP/19/2026/01425|RAGHUNANDAN ENCLAVE|SPICA INFRASTRUCTURE AND CONSULTANCY PVT. LTD.|Khordha|Residential|Feb, 2026|23
RP/19/2026/01424|The Oasis By Metro Kings Court|M/S. CITY TRADE ARCADE PRIVATE LIMITED|Khordha|Residential|Feb, 2026|35
RP/30/2026/01423|BRAHMANI UPVAN|M/s. Brahmani Developers Pvt. Ltd|Sundargarh|Residential|Jan, 2026|37
RP/19/2026/01422|BIMALEI RESIDENCY|NANDA & CO.|Khordha|Residential|Jan, 2026|12
RP/19/2026/01421|CSS RAMAN HOMES|CSS INFRA|Khordha|Residential|Jan, 2026|16
RP/19/2026/01420|THE GARDENIA|Aadiv Developers Private Limited|Khordha|Residential|Jan, 2026|252
RP/30/2026/01419|ANUSHYAM ENCLAVE|GAJARAJ DEVELOPERS|Sundargarh|Residential|Jan, 2026|16
RP/19/2026/01418|ZX ATULYAM|ZONEX INFRAPROJECTS PRIVATE LIMITED|Khordha|Residential|Jan, 2026|157
